Image Index,rvec_x,rvec_y,rvec_z,tvec_x,tvec_y,tvec_z,Reprojection Error
0,0.05793719994349596,0.28480429826415893,0.04031758555755844,-60.31717192909137,-90.53600944845145,697.6764935690134,0.05165585367751807
1,-0.008513315765685505,0.2313758115975629,0.031214599983709138,-43.80807136997538,-64.31130763412216,577.5125071308346,0.05435621619172427
2,-0.05890173745261127,-0.5312662249453891,0.045263028596656193,-42.13919194857371,-65.11237240485832,624.4056532833987,0.08097957754282101
3,-0.08246586846860518,0.6303034602177283,0.0039374514186331575,-103.93635187769472,-72.59325583730788,664.4877932668414,0.11375724085842549
4,-0.07595448028503264,0.5646446207958148,0.008520607099890515,-112.24892164979103,-70.5270680877037,681.6126227831077,0.10252881740239006
5,-0.455780063251302,-0.2566696944844616,0.09508122405343657,-93.2769079907604,-107.63580615326107,669.031118219213,0.0933136849468062
6,-0.5607270116450453,-0.10839752020524332,0.07124474230317547,-85.75013270679104,-89.77472362686385,704.9591975775766,0.10224291255650662
7,-0.43180155061270126,-0.09807433943793151,0.059409549304458464,-43.612480089552754,-77.33187531825901,478.159805008173,0.13299817668809463
8,-0.3123563213149595,-0.14110042045837703,0.055606209497175686,-65.26858049657383,-84.48926090233742,653.0382182490088,0.06691114652679821
9,0.022757656088778666,0.02521121617150296,0.015181882829591807,-77.46933260230789,-68.38967450129766,385.579228236462,0.08721184002920708
10,0.10943587017766813,-0.38131878509513556,-0.00801292268510476,-50.085055485228324,-66.1071959742349,398.4105438814918,0.10252328664951244
11,0.03973157376856565,0.02867095799425592,0.014022384613798074,-54.742502149975536,-65.70841788719152,432.89078190217634,0.06600550010645699
12,0.02351497537144763,-0.4967124020280278,0.009715499363279602,-3.97161684110336,-76.20620422946213,405.07117809322483,0.127102770925916
13,-0.29963135414467823,0.08410377844627759,0.018781658232712405,-40.82673823602226,-67.1878089325987,470.5898763570386,0.09267027937821969
14,0.04142296522395788,-0.0788845797406228,0.03400576437490662,-52.31085254582271,-111.83383477970128,768.3070235070037,0.027351580488758638
15,0.004960146889344863,-0.2095176509063374,0.035092832590781435,-14.273335429130025,-84.36344622588423,740.9118997834254,0.04440088542760067
16,0.045261197506808286,0.41643283975362266,0.04593458040998042,-64.68361546810375,-57.45758950194682,712.8563699739096,0.07079246121468913
17,0.06529412538090713,0.2952022251797983,0.04697664816352855,-55.94665169472092,-115.93035761959027,705.5917258710784,0.05255870217695345
18,0.0528677113916813,-0.602938968752408,0.0074972333897011635,66.37204355658334,-64.7729110784335,628.6330415334844,0.1047629536307731
19,0.00048452215870170735,-0.09220417141430874,0.03802015644241429,-69.92698353942055,-73.21086428412949,506.1435240076476,0.043073088614077715
20,0.06889863401185942,-0.5767988678258187,0.004947564009618801,28.99460619680697,-82.79973162132579,599.2481387885625,0.100415893840935
